Date,Open,High,Low,Close
02/27/2026,"6,856.54","6,882.96","6,831.74","6,878.88"
02/26/2026,"6,944.74","6,947.25","6,859.73","6,908.86"
02/25/2026,"6,915.15","6,952.51","6,915.15","6,946.13"
02/24/2026,"6,837.37","6,899.17","6,815.43","6,890.07"
02/23/2026,"6,901.25","6,916.96","6,819.82","6,837.75"
02/20/2026,"6,843.26","6,915.86","6,836.33","6,909.51"
02/19/2026,"6,861.34","6,879.12","6,833.06","6,861.89"
02/18/2026,"6,855.48","6,909.12","6,849.66","6,881.31"
02/17/2026,"6,819.86","6,866.99","6,775.50","6,843.22"
02/13/2026,"6,834.27","6,881.96","6,794.55","6,836.17"
02/12/2026,"6,957.54","6,973.22","6,824.04","6,832.76"
02/11/2026,"6,976.48","6,993.48","6,911.97","6,941.47"
02/10/2026,"6,974.49","6,986.83","6,937.53","6,941.81"
02/09/2026,"6,917.26","6,980.10","6,905.87","6,964.82"
02/06/2026,"6,816.74","6,944.89","6,816.74","6,932.30"
02/05/2026,"6,837.39","6,857.85","6,780.13","6,798.40"
02/04/2026,"6,924.50","6,936.09","6,838.80","6,882.72"
02/03/2026,"6,985.45","6,993.08","6,862.05","6,917.81"
02/02/2026,"6,916.64","6,991.92","6,914.34","6,976.44"
01/30/2026,"6,947.27","6,964.09","6,893.48","6,939.03"
01/29/2026,"6,977.74","6,992.84","6,870.80","6,969.01"
01/28/2026,"7,002.00","7,002.28","6,963.46","6,978.03"
